feature_name,dose,pvalue,tstat,fc
M254T401_2,1,0.697555857,-0.417269646,0.894362817
M254T446,1,0.28517145,1.124135512,1.111796925
M254T473,1,0.028283836,2.537328444,1.350289731
M254T418,1,0.324687884,-1.049998023,0.703360506
M254T466,1,0.01362115,2.856645058,1.248621017
M254T342,1,0.914285601,0.110000708,1.008052227
M255T344,1,0.093814272,-1.863246117,0.795507076
M255T308,1,0.308810968,-1.110381582,0.875399774
M255T411,1,0.461104384,-0.777543667,0.861860282
M255T461,1,0.218851315,-1.366876512,0.904961612
M255T162,1,0.306041024,-1.082991238,0.907802735
M255T380_1,1,0.100739145,-1.807125007,0.879558746
M255T61,1,0.052815863,-2.184400383,0.761430678
M255T156,1,0.891977834,-0.140598599,0.970767387
M255T530,1,0.286013819,-1.114286115,0.857110388
M255T579,1,0.483498629,0.765053957,1.083451431
M255T496,1,0.172709274,1.453509249,1.138195435
M255T297,1,0.482420917,-0.735984393,0.909452198
M255T380_2,1,0.136059929,1.708260988,1.330364161
M255T380_3,1,0.286723224,-1.115921412,0.778007849
M255T386,1,0.470052051,0.786794534,1.183081093
M255T126,1,0.587554381,-0.570250572,0.939085256
M255T470,1,0.238251205,1.354210922,1.313889862
M255T528,1,0.131800424,1.7501336,1.414526992
M255T36,1,0.596418019,0.546902173,1.10848083
M256T544,1,0.917512914,0.111788322,1.036593496
M256T578_1,1,0.609398929,0.523568159,1.008128675
M256T73,1,0.260313115,-1.224062766,0.891121332
M256T68,1,0.137615364,1.601016277,1.276626974
M256T64,1,0.259063384,-1.183263853,0.715567544
M256T67,1,0.134223755,1.950202176,1.701052157
M256T445_2,1,0.477962357,0.849089613,1.694174943
M256T338,1,0.543401183,-0.653006262,0.94539676
M256T501_2,1,0.266652887,1.240854802,1.255001551
M256T362,1,0.500897033,-0.695832204,0.856860303
M256T298,1,0.407992135,-0.891742568,0.944969807
M256T345,1,0.008952874,3.369000394,1.42726205
M256T380,1,0.154573828,-1.515892524,0.748691926
M257T578_1,1,0.858635465,0.181733999,1.010122547
M257T578_2,1,0.299935985,1.100305487,1.025810888
M257T461,1,0.645745012,-0.475456285,0.934718942
M257T426,1,0.979358245,0.026418813,1.003145782
M257T427,1,0.789675654,0.276803181,1.051139991
M257T74,1,0.164577378,1.639475841,1.201056296
M257T544,1,0.844983487,0.199990121,1.034382366
M257T338_1,1,0.894414294,0.135423719,1.010125499
M257T541,1,0.106628219,1.823071183,1.322088345
M257T329,1,0.32268367,1.115842009,1.369915425
M257T568,1,0.740757536,-0.341807622,0.965943709
M257T367,1,0.146508125,-1.545245157,0.799240957
M257T52,1,0.5709973,0.592685813,1.407296514
M257T120,1,0.273328763,1.196311674,1.169610596
M257T310,1,0.671665391,0.465877919,1.070829894
M257T512,1,0.340222796,1.031698135,1.12393714
M257T390_2,1,0.01665934,3.48295193,1.474111479
M258T111,1,0.25001183,-1.254106948,0.78447404
M258T578_1,1,0.623233399,-0.507962412,0.987647723
M258T578_2,1,0.867830524,0.170870345,1.004930233
M258T309,1,0.599001951,0.559729249,1.059806707
M258T305,1,0.675689506,-0.449116781,0.946828576
M258T68,1,0.170502826,1.487310734,1.256329179
M258T32,1,0.506693525,-0.699658318,0.89566071
M258T378_1,1,0.100824158,1.832421796,1.308988189
M258T501,1,0.744790005,0.365451046,1.073463369
M258T336,1,0.145580232,-1.574159727,0.794149876
M258T102,1,4.17E-05,6.263675866,1.732470576
M258T569,1,0.857938967,0.185152381,1.019130124
M258T486_3,1,0.704356054,-0.389264247,0.927380394
M258T414,1,0.162142351,1.581136846,1.282501284
M258T486_4,1,0.468426572,-0.753334947,0.846907168
M258T486_5,1,0.518259763,-0.664563995,0.828448413
M258T448,1,0.029410347,-2.675317815,0.662851453
M258T486_6,1,0.674723631,-0.431297774,0.917941947
M258T486_7,1,0.77199574,-0.297743112,0.946507666
M258T353,1,0.493259191,0.748431777,1.168031485
M258T232,1,0.120021035,1.887872911,3.301913549
M258T518,1,0.399672415,-0.890461833,0.811156619
M258T500,1,0.490702299,-0.722510832,0.806364829
M258T298_2,1,0.049896301,-2.906806562,0.874698648
M258T476,1,0.097113199,2.070177436,1.200873994
